player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Koren Robinson,2864,WR,GB,3,14.5,0,46.7,,0,0,0,12.5,1,6,12,0,54.9,70.1,70.9,,69.9,0.0,0,0,24,0.0,0,53,1,7,86.8,46,17.0,9,65.7,15,0,83.0,44,89,17,2.4,12.7,1.93
Jerious Norwood,3024,HB,ATL,14,0.0,2,85.7,,0,0,0,0.0,0,4,2,0,80.6,88.1,78.3,85.9,80.2,1.3,1,0,32,12.5,10,80,0,12,82.5,66,0.0,0,97.0,14,0,16.3,13,102,98,8.2,8.5,1.55
Julius Jones,1764,HB,DAL,16,-1.3,0,64.3,,0,0,0,18.2,2,7,9,0,41.1,84.9,46.7,76.2,53.0,0.3,1,1,39,38.1,111,291,1,9,58.1,169,1.0,3,68.2,14,0,5.2,15,142,150,16.7,15.8,0.84
Jim Finn,541,FB,NYG,16,1.6,0,57.1,,0,0,1,11.1,1,4,21,0,35.7,71.5,76.2,67.4,42.2,0.0,0,0,11,20.6,29,141,2,8,74.5,105,2.8,4,65.8,14,0,9.2,13,54,44,5.5,6.8,0.51
Nick Goings,956,HB,CAR,9,4.9,1,71.4,,0,0,0,0.0,0,3,5,0,78.0,76.1,63.9,83.8,73.7,1.6,1,1,23,18.0,11,61,0,10,80.3,49,9.8,6,87.5,14,1,19.7,12,107,77,7.7,10.7,2.18
Lamont Jordan,819,HB,OAK,9,-2.4,2,71.4,,0,0,0,0.0,0,4,23,1,78.0,69.0,62.1,71.2,46.7,0.5,1,0,21,46.3,88,190,0,10,51.6,98,0.0,0,83.6,14,0,0.5,1,74,99,9.9,7.4,0.76
Jim Kleinsasser,469,TE,MIN,16,7.3,0,50.0,,0,0,0,30.0,3,1,18,0,28.4,69.5,73.5,70.0,30.4,96.2,205,1,14,41.8,89,213,0,7,54.5,116,1.9,4,28.0,14,0,1.4,3,47,19,2.7,6.7,0.41
Aaron Moorehead,1665,WR,IND,10,10.2,0,57.1,,0,0,0,0.0,0,5,14,0,76.5,70.1,57.8,,57.4,0.0,0,0,36,0.0,0,97,0,8,99.0,96,7.2,7,97.9,14,1,92.8,90,82,11,1.4,10.3,0.85
Dwayne Blakley,1219,TE,ATL,16,11.8,0,46.2,,0,0,0,0.0,0,4,2,0,74.6,68.8,52.6,60.4,51.3,48.6,67,3,28,15.9,22,138,1,6,81.9,113,35.5,49,25.3,13,0,8.7,12,76,20,3.3,12.7,0.67
Tony Richardson,110,FB,MIN,9,1.6,5,100.0,,0,0,0,0.0,0,7,18,0,80.6,74.9,75.4,69.6,80.0,2.8,3,0,35,25.0,27,108,0,13,69.4,75,0.0,0,105.4,13,0,0.0,0,121,100,7.7,9.3,1.61
